,epoch,D_loss,G_loss,MI,D_ks,p_value,time,Corr/code0-x,Corr/code0-y,Corr/code1-x,Corr/code1-y,angle
0,1,0.6777845121199085,-0.7009476115626674,0.000620959403609196,0.6247258064516129,6.448368088668609e-118,62464,0.5435457414880218,-0.11849064855280375,0.5007797320306328,-0.08156366472201529,3.047112443712726
0,2,0.6746953773883081,-0.6828324131427272,0.002177087409842399,0.5037419354838709,1.842081903261083e-76,125952,0.4421110076833837,-0.186092843007129,0.3991672464240818,-0.155504407396051,1.5426429828353074
0,3,0.6973422169685364,-0.6547319350704071,0.007685163689236487,0.46852419354838704,2.463031861166465e-65,189482,0.4044639247550058,-0.4875215526008789,0.3982017542593259,-0.21147420632498204,22.348217247092926
0,4,0.6818984141272884,-0.6606333794132355,0.013675082294690994,0.48802419354838705,1.847621262001045e-70,251920,0.5044270361605747,-0.4357958033457759,0.45483870961655876,-0.10064076922090698,28.34848007301615
0,5,0.685245273574706,-0.6725005142150386,0.019110491679560755,0.3825201612903226,3.2557820615949758e-43,315535,0.46075093301743375,-0.3162464667462052,0.39480769414333033,-0.05469156317016404,26.57778252125038
0,6,0.6842515285938017,-0.7410548848490561,0.02723618059028541,0.4520887096774193,1.2321766685100774e-60,379424,0.49076623037203554,-0.19498048084277939,0.3393418110190538,-0.08041647896981308,8.33593622684358
0,7,0.6772228517839985,-0.6719436491689375,0.03638469783829585,0.3587862903225807,4.3876145542326336e-38,442746,0.4653657399613174,-0.3000747698909135,0.386319129506638,-0.02414718174781371,29.237861712918995
0,8,0.7019069012134306,-0.6919682237409777,0.05425544083118439,0.284866935483871,1.401188365563832e-24,505754,0.46270351063218496,-0.34372909008027897,0.35397113978478173,-0.05833235538349629,27.249691874054086
0,9,0.6825511926604856,-0.6885933770287421,0.054210045269780585,0.5946733870967742,6.088910774026003e-104,568217,0.4226379773561852,-0.20025081996157543,0.3343065038974132,-0.03553781427638566,19.28421149752581
0,10,0.6929624917045716,-0.6837244341450353,0.06064789449315398,0.20989919354838715,2.6304116044904765e-13,631741,0.4393388209099483,-0.1231221060739751,0.4001161302152597,0.025220260122486553,19.261930097536162
0,11,0.7144532453629279,-0.7749187398341394,0.060892520592578,0.706491935483871,1.2138802502849813e-147,696204,0.4314866919329537,0.013776751756565382,0.4603540281519951,0.10727362306872924,11.288472063644797
0,12,0.6613013600149462,-0.697452881643849,0.06380781400648336,0.7238266129032258,7.137538408883452e-155,760859,0.46460930658426486,-0.012512051584569486,0.3804853166576587,0.0830338129072859,13.8533408124041
