,epoch,D_loss,G_loss,MI,D_ks,p_value,time,Corr/code0-x,Corr/code0-y,Corr/code1-x,Corr/code1-y,angle
0,1,0.6903448777814065,-0.6926699011556564,1.527344988238427e-05,0.4079112903225806,2.047587858065136e-49,61094,-0.33685439080419555,0.3991505406901944,0.2119954773681893,0.2855418455860822,76.7533470607094
0,2,0.6948669581643997,-0.6805386322159921,0.002810847374700731,0.46046370967741934,1.6712249292088398e-62,124828,-0.3246490411549255,0.39235430517906333,0.37251663463449597,0.3241150958432829,88.58015142611227
0,3,0.6870154555766813,-0.6799301774271073,0.007524299285104198,0.5113870967741936,5.9622191193187644e-77,188851,-0.5167284656351508,0.4264537505350094,0.3296775348184549,0.2461602322300106,76.28029203573652
0,4,0.6987587146220668,-0.7013046683803681,0.016340030056814992,0.23439516129032256,1.654304424748051e-16,251901,-0.5537631133764636,0.3658852406555061,0.2683194925155489,0.1694782549977464,65.73142088398706
0,5,0.6818340238063566,-0.7049546193691992,0.023114724024649588,0.45978629032258067,3.121668199287922e-62,315640,-0.47651730542604,0.4614604644578499,0.21989269110384832,0.28527205522452337,83.54532304051054
0,6,0.6869547261345771,-0.6632807389382394,0.04050798906433967,0.1559153225806451,1.462496511581658e-07,380312,-0.48458573488332135,0.5073266285100242,0.2240772318610394,0.17576649574212883,84.42403804642805
0,7,0.6806216816748342,-0.7204173322646849,0.07598435253866258,0.32608870967741943,1.221769354374032e-31,443524,-0.5992124125802247,0.6664342694165435,0.2378180464401757,0.2404841678838338,86.64035450830566
0,8,0.6875310174880489,-0.6793843507766724,0.11682573826082292,0.3407862903225807,1.1468872135019165e-34,506700,-0.6407998280981785,0.6737031311004494,0.3472181433261601,0.44939982290979497,81.25674924605413
0,9,0.6930430416137942,-0.7084490435738717,0.17476069686874265,0.2771814516129032,1.9533712676711868e-23,569445,-0.6882341167221668,0.7891080122392469,0.25761868462655846,0.2858925613097912,83.11598266134195
0,10,0.696464289580622,-0.7385062354226266,0.2417777430626654,0.1827903225806452,1.4482246902161241e-10,633163,-0.7567069624381942,0.7678518975250707,0.2778195712073488,0.3003866393257365,87.34607181437455
0,11,0.6852266259731785,-0.6757109049827822,0.2835552687606504,0.3128266129032258,7.343244937537533e-30,696955,-0.7928744637113573,0.7718978780424021,0.3324897263424133,0.36016919350089716,88.47964434798534
0,12,0.6925391622128025,-0.7472473729041315,0.3439427460393598,0.15389112903225802,1.5742918630327346e-07,762975,-0.784135358105702,0.7983137560039342,0.3505701040183644,0.3920477933652136,86.28981699615878
0,13,0.6898591153083309,-0.7442924803303134,0.4457734712669926,0.20498790322580646,6.832948169384477e-13,826054,-0.803352996280501,0.7938862441134505,0.3871803632690598,0.4555556567807422,85.70105881707319
0,14,0.6933730802228374,-0.7166971391247164,0.46014098895172917,0.23746370967741937,4.8721142347472034e-17,891006,-0.7465991022390818,0.7603905258898663,0.45649377934997376,0.5724107781614761,83.04779146296042
0,15,0.6917876918469706,-0.751219198588402,0.5794476821057258,0.08966129032258065,0.008840909360158777,953258,-0.6593989306487226,0.7569442545921297,0.5153592350573989,0.5345930091938058,85.01072184329402
0,16,0.6898752181760727,-0.7956164931097338,0.675971150878937,0.3423588709677418,8.036100660183674e-35,1016270,-0.7173036649149592,0.7706277517066148,0.6212923332353734,0.479713232680749,84.72497826907477
0,17,0.6918430472573927,-0.768686153234974,0.7562715065094733,0.138516129032258,4.891641736738273e-06,1079736,-0.6759728751219191,0.7297661796524958,0.594944890316832,0.612394191466158,86.98051557838767
0,18,0.6932311288772091,-0.7576557868911374,0.749319415900015,0.11560887096774193,0.00024592457215478775,1144246,-0.6778221594423554,0.7370528567968911,0.629020169841881,0.6050636040883014,88.71494586238303
0,19,0.6936567118090968,-0.7766255976692322,0.8495360300425561,0.18078629032258065,5.53569982595086e-10,1208255,-0.7130023191077728,0.6960162042809869,0.630175901729558,0.6301679272656348,89.30895418879356
0,20,0.6932875235234538,-0.7750946610204635,0.9394605664476272,0.15921774193548388,7.761316356455945e-08,1272287,-0.6777058835897692,0.6887982434323181,0.6798737614044403,0.6449109438190428,88.95331796406637
