,epoch,D_loss,G_loss,MI,D_ks,p_value,time,Corr/code0-x,Corr/code0-y,Corr/code1-x,Corr/code1-y,angle
0,1,0.6877111581064039,-0.6985526536741564,1.9352642759200066e-05,0.6064879032258064,2.564631831035511e-108,62105,-0.08514915247850417,-0.447061564418217,-0.14165787246600392,0.09286418342216152,67.53667775846444
0,2,0.6957781718623254,-0.6898837358720841,0.002654482565459705,0.23089516129032256,2.6692659812536377e-16,125454,-0.03487564473826331,-0.31415480765890186,-0.11898655726108089,0.2467105861720207,32.082351128945874
0,3,0.6913717235288313,-0.6773879970273664,0.006417093299058897,0.5769314516129032,3.673786295859104e-98,188584,-0.0725084200017988,-0.36438330837865895,-0.19414993997042201,0.17381719168490128,59.417020929236045
0,4,0.6854866041291144,-0.6751778241126768,0.017034843203521544,0.27756854838709677,3.825607555294216e-23,252003,-0.1415985048949703,-0.42250081964877134,-0.37121701078740954,-0.014781374355813217,69.19150798135138
0,5,0.7024231697282484,-0.7291868790503471,0.03275793298117576,0.6539838709677419,1.5279218445186371e-125,315911,-0.12339447983851978,-0.7709386183962719,-0.3577414783157291,0.07291599173679851,87.57308550134843
0,6,0.6595530269607421,-0.6550920903682709,0.04689363570463273,0.38777419354838716,7.113330713690508e-45,380350,-0.0721602450101563,-0.5296313108920164,-0.29339369904539286,0.1674520273464515,68.04335291585625
0,7,0.7174356176007178,-0.691053718328476,0.04046069325939301,0.547241935483871,2.280147976765567e-88,443533,-0.1365786684422792,-0.5516240153024374,-0.2846448953999799,0.000357852695783829,76.16561857613496
0,8,0.6495491352773481,-0.6537486141727816,0.05105836461147954,0.5884758064516129,3.3098073067699965e-102,506367,-0.16709239738222617,-0.5224824375623707,-0.2860133322264116,-0.055581986801432615,61.268055087384035
0,9,0.6884965915833751,-0.6563898180761645,0.06446222179839688,0.18403629032258062,1.8868811034077021e-10,569094,0.1326462024467546,-0.44882743911078515,-0.1685998627735662,0.05483717301694768,55.51837563225554
0,10,0.6510042836589198,-0.7068497048270318,0.08668823254805419,0.4319233870967742,5.633864813859595e-55,632835,0.14351513212255634,-0.6304010541569914,-0.1431445526856906,0.04878817851717192,58.35407755052326
