,epoch,D_loss,G_loss,MI,D_ks,p_value,time,Corr/code0-x,Corr/code0-y,Corr/code1-x,Corr/code1-y,angle
0,1,0.6873004023105868,-0.7201844223083989,-0.0009417824687496309,0.7969999999999999,1.6338808633801272e-202,158,-0.00828799489000423,0.008744682098703431,-0.09434934861831644,0.06976466636261876,10.055566082456242
0,2,0.6837477684020996,-0.6863883358816947,-2.998017495678317e-06,0.5969798387096774,2.321492013285467e-115,287,0.029830539965195628,0.03609478459035893,0.0016492429229833358,0.036876354307690824,37.01126789425619
0,3,0.6781448818022205,-0.6623603422795573,2.7348197275592434e-05,0.8619717741935484,1.5384371068039193e-239,425,0.02429903561002046,0.0830059431980094,-0.02949608694559318,0.03755712630139389,54.461668718659354
0,4,0.6205302313450844,-0.6092573346630219,5.741177066679924e-05,0.7149032258064516,1.6227596675493625e-165,558,-0.014515016560337445,0.037785430130479365,0.0435325760928068,0.10946771330500452,42.700420581081914
0,5,0.5317565452667975,-0.5318178154768483,0.000644050778881196,0.6347419354838708,1.416169314016406e-127,692,-0.13361485390388897,0.0522781258776685,-0.16320163862654827,0.10592642954651785,11.617276346861445
0,6,0.4099576338644951,-0.3971430596805388,0.002708280759473001,0.6598790322580645,4.217171981080482e-139,1094,-0.21702015623760945,0.13364541894378829,-0.2222015747114479,0.10474827686391815,6.385897356251574
0,7,0.3403063214594318,-0.31723375450218877,0.00884254180615948,0.4844153225806451,1.3567805732778972e-76,1223,-0.17783515349353157,0.18399375737815396,-0.16491932810733553,0.1703966607473364,0.039289589048633576
0,8,0.3542175879401545,-0.32803883860188143,0.030536476642854752,0.6665645161290323,1.8502734307273724e-144,1352,-0.39792246307037227,0.3840511987280359,-0.4244339275713145,0.40372475516403555,0.4162050346620678
0,9,0.47348867933596334,-0.4568959253449594,0.09882678187662555,0.358991935483871,2.616378156694165e-42,1475,-0.3770853827000546,0.38692747860420873,-0.44523112129313736,0.4508830443225066,0.37668150894716496
0,10,0.46460853132509417,-0.4463291211474326,0.1411851464260009,0.28608467741935484,4.982730568173716e-27,1640,-0.43358537226070265,0.43585961557412356,-0.4464923411540684,0.4469422949541848,0.12101516266057885
0,11,0.4147627185429296,-0.384456746039852,0.16976706972045283,0.41039112903225805,3.957689644262876e-55,2172,-0.3820204900234046,0.3813898690057483,-0.4420596775504417,0.44562379310292605,0.2773752155342329
0,12,0.3786095106793988,-0.34228782259648843,0.15082432353688824,0.35000403225806453,3.3874290051564317e-40,2351,-0.42407468007906834,0.4224810465961782,-0.4244676728639164,0.4250979723081057,0.15036684057686592
0,13,0.36623853805565065,-0.3205358261062253,0.17487790699928038,0.4504233870967742,4.829393741431201e-66,2489,-0.42384313849018823,0.41514637467404336,-0.3879992387157743,0.3904412887232606,0.7736353323347878
