,epoch,D_loss,G_loss,MI,SepalLengthCm_D_ks,SepalWidthCm_D_ks,PetalLengthCm_D_ks,PetalWidthCm_D_ks,SepalLengthCm_p_value,SepalWidthCm_p_value,PetalLengthCm_p_value,PetalWidthCm_p_value,time,Corr/code0-SepalLengthCm,Corr/code0-SepalWidthCm,Corr/code0-PetalLengthCm,Corr/code0-PetalWidthCm,Corr/code1-SepalLengthCm,Corr/code1-SepalWidthCm,Corr/code1-PetalLengthCm,Corr/code1-PetalWidthCm
0,13,0.6772500265921865,-0.7142174116202763,0.6632843137319598,0.10422619047619047,0.07818948412698412,0.15267857142857144,0.1276686507936508,0.00010356405915528104,0.007636271442367101,1.293108984954852e-09,7.557364641143975e-07,759625,0.6633850811342031,-0.4860225311187138,0.8801279079406095,0.8713147774013481,0.05300858279748815,0.06012701748977319,-0.052132594228344674,-0.033529334567802944
0,14,0.6748751870223454,-0.7066266419632095,0.8022500043734908,0.21776785714285715,0.12061011904761905,0.15941468253968255,0.10797619047619048,3.8202871981822923e-19,3.6760867097150028e-06,1.9048545907511193e-10,5.039353970003679e-05,821934,0.7444170060908525,-0.5138388725215518,0.8831142725448522,0.8549011691839034,0.08874977988562965,-0.032905162875639826,-0.0015356653206901145,0.001990422411595076
0,15,0.6849574797919818,-0.7193769929664475,0.5858641934714147,0.19577876984126985,0.06310019841269841,0.1470188492063492,0.15271825396825398,1.5835722579950053e-15,0.05268509320701601,6.0740713290346805e-09,1.2755095163876105e-09,883900,0.45459385694755516,-0.4768342267545122,0.84931735980836,0.8838131462996074,-0.04102244047580951,0.0427071423392003,0.04388673381776565,0.025688640250009852
0,16,0.6755664284740176,-0.6958428983177457,0.6555172177031636,0.24487599206349206,0.0760218253968254,0.16267361111111112,0.15117063492063493,4.0878803430515865e-24,0.010334373586295834,7.387483394543907e-11,2.005010494465483e-09,945091,0.5634221997477018,-0.4824750976053894,0.8543471986770768,0.9011794520443629,0.15057759688561126,0.08161434293595073,0.019194423082612856,0.02170175283334925
0,17,0.6781299784779549,-0.7148592940398625,0.7641333176621369,0.07630456349206349,0.0983829365079365,0.12131448412698413,0.13709325396825398,0.0099366620774304,0.0003027540029898991,3.1619408659477135e-06,7.808857109017155e-08,1004780,0.7213882483921639,-0.3142380885051043,0.9001923364899911,0.8678594402704288,0.12293119102591706,0.048941579746116806,-0.046567393554366614,-6.815377040384208e-05
0,18,0.6760561029825892,-0.7005053290299007,0.6839314297373805,0.13168154761904763,0.11033730158730158,0.17836805555555554,0.16276289682539682,2.914951003362708e-07,3.159237744101695e-05,5.588996085565106e-13,7.135371658114593e-11,1061618,0.7222401671465866,-0.19688593256696843,0.8725617207869305,0.8751907474520491,0.10522329891107912,-0.028295848592674835,0.1069753730823205,0.07068261897051169
0,19,0.6716658930693354,-0.7202151768973896,0.7668518872399416,0.0778125,0.1541468253968254,0.1503968253968254,0.12370039682539682,0.008048938098302028,8.586648924693519e-10,2.433529831894528e-09,1.8568694090278734e-06,1116383,0.49229496600138345,-0.37972705055787864,0.883034558858333,0.8999751514735811,0.18700181213504577,0.025939008086479507,0.033372598257346835,0.00907164897749447
0,20,0.6805512011051178,-0.7145680923547063,0.779296737164259,0.14413194444444444,0.03812996031746032,0.15148313492063492,0.15031746031746032,1.295670389404041e-08,0.5134504431223169,1.810852925408068e-09,2.5024700100005937e-09,1170297,0.7171396078587929,-0.4223371303818399,0.8715676628401243,0.876057790544704,0.07398468329553948,-0.07769385052452345,0.03807126578876398,0.0030732234573001265
0,21,0.6647235836301532,-0.7001647161585944,0.7375437047864709,0.09390376984126984,0.08376984126984127,0.12593253968253967,0.18425595238095238,0.0006603863386879216,0.003370080141791476,1.12034040960343e-06,8.123273091486408e-14,1228428,0.5917374133899013,-0.466256195680802,0.8822040340015119,0.9050173218901192,0.11353820506555448,0.11003717577892352,0.07803295360455127,0.07058578693356486
0,22,0.6826101381863866,-0.7173747728977885,0.806783917759146,0.16675099206349206,0.05901289682539682,0.12368551587301588,0.0856547619047619,2.2489850348153565e-11,0.08278707349400001,1.8635726433330851e-06,0.002520958565401889,1287518,0.7173970585710632,-0.37452373788115845,0.9104434449509158,0.880489001675418,0.05231927022685086,0.12328965508202724,-0.008902808495674507,-0.023196350866472246
0,23,0.6646507244024958,-0.7111847443240029,0.7718746137938329,0.11165178571428572,0.14125992063492063,0.1392857142857143,0.13932539682539682,2.4245064045056445e-05,2.7634920465732367e-08,4.5124712122228234e-08,4.459565041855504e-08,1349450,0.6659144126425547,-0.46772594673973994,0.8954722737701465,0.8565953098544391,0.19096443049664072,0.07161151698028481,-0.012291804717186121,-0.017998030787011662
0,24,0.6612245036023003,-0.6759613049881799,0.7602564298680851,0.23222718253968255,0.09633928571428571,0.1504861111111111,0.1694593253968254,9.85809355125864e-22,0.0004337557153479805,2.3601867483148475e-09,9.406289451700063e-12,1412143,0.7762660900693943,-0.46563707084493505,0.872162561361066,0.867479585183257,-0.011008458405114873,0.05783895077807845,0.030453061691577975,0.02605069141103409
0,25,0.6748716905713081,-0.724710861487048,0.7206405382603407,0.1273859126984127,0.14259920634920634,0.1704563492063492,0.13359126984126984,8.014947393803367e-07,1.936177158058397e-08,6.999710842993031e-12,1.856519160513457e-07,1474884,0.545290984248003,-0.22300338724812815,0.8854175331462458,0.8540902822603202,0.07750354517348891,0.19253995077466451,-0.04218385004265736,-0.02381179948248409
0,26,0.6711107790470123,-0.7053879233343261,0.6842339336872101,0.08746527777777778,0.03657242063492064,0.1627232142857143,0.14151785714285714,0.0018986802664981593,0.5664911962007062,7.243487677665124e-11,2.5542957413305834e-08,1534635,0.6255010470389426,-0.30833124875128803,0.8667171514428803,0.8774790086302738,0.15535853873977407,-0.013445989136267053,0.07395314531897797,0.10496666268024625
0,27,0.6653747814042228,-0.6953497848340443,0.8072497110281672,0.20137400793650795,0.0371577380952381,0.1347718253968254,0.14378968253968255,2.0904095044309483e-16,0.5466924751370792,1.3895163105940946e-07,1.4149355951455153e-08,1595683,0.7429309878725237,-0.4425493811190461,0.8871985910249565,0.8679319714048016,0.1429709516211076,0.04474977230563017,0.05229002841954301,0.028941102601336605
0,28,0.6654176637530327,-0.7081998490861484,0.781522625791175,0.09951388888888889,0.10104662698412699,0.14032242063492065,0.14140376984126984,0.000247201498965827,0.00018691042660955564,3.4826860386418515e-08,2.6467103711808248e-08,1658720,0.6713593118496147,-0.3521723485737608,0.900085300785845,0.8543775615723483,0.18802314364397887,0.19425031292676997,0.013326889218051169,0.04766715242685554
0,29,0.6654615136129516,-0.7038480458515031,0.7780767173639366,0.1620386904761905,0.11958829365079365,0.14935515873015873,0.10361111111111111,8.979530100722912e-11,4.5953717523292604e-06,3.2152291902242133e-09,0.00011630118903868225,1721118,0.698871498150765,-0.4329383746908079,0.8791518039568416,0.8913984827916158,0.11186481319508523,0.12425528447490515,0.019114238586597682,0.019929397923419207
0,30,0.6614733508655003,-0.7020550827894892,0.8037729667765754,0.11325396825396826,0.05052579365079365,0.1347718253968254,0.15160218253968255,1.752096642798948e-05,0.19214786555506758,1.3895163105940946e-07,1.7370622059675962e-09,1783862,0.7513333736876574,-0.4800916359955129,0.9134140706504773,0.877261263173686,0.11790330236318086,0.2215625047501894,-0.018226544662536957,0.03279606620354719
0,31,0.6619046649762562,-0.7048919381839889,0.8280489024307046,0.14074404761904763,0.12331845238095238,0.1471626984126984,0.1225843253968254,3.105499355715969e-08,2.032168751489519e-06,5.793204971963174e-09,2.3823713682333535e-06,1846388,0.7088532868385845,-0.3789023867024102,0.8906617701104109,0.8748421844714998,0.13451658003275407,0.1597305502543332,0.0373367646746026,0.058511945204861915
0,32,0.6590876440916743,-0.6965607367455959,0.7676511305783477,0.06402777777777778,0.038660714285714284,0.11911210317460318,0.14480654761904763,0.04731503761768169,0.4952520913989716,5.105491883682613e-06,1.0900921626404595e-08,1908820,0.6939801543129769,-0.40322362860870614,0.9102104840873959,0.8650728925114733,0.11429014669761535,0.11673493850318922,0.07813472556815737,0.06955044376693545
0,33,0.6628362249050822,-0.7032259713326182,0.7877136474209172,0.11609126984126984,0.03706349206349206,0.1371279761904762,0.10098214285714285,9.69575700890729e-06,0.5499938115242909,7.732225178097766e-08,0.00018914304963155054,1971465,0.7262606725628828,-0.38299578704999987,0.8760958482009166,0.9002621961065709,0.15045196734689006,0.08545983859490339,0.126893912461083,0.10480324930080939
0,34,0.6583595935787473,-0.6992665454745293,0.813279179723135,0.11193948412698412,0.05140376984126984,0.15498511904761905,0.13151289682539682,2.2888780473485263e-05,0.1771790474040319,6.749963710302568e-10,3.04367221740151e-07,2034816,0.6810846594368015,-0.21799264541539412,0.8970533018968697,0.8707266441441964,0.11997748138199012,0.2166265796469268,0.04238813287059239,0.12575471478650208
0,35,0.6589174951825824,-0.7021017377930028,0.8977231056695538,0.08168154761904763,0.09604662698412698,0.11464781746031746,0.15839781746031745,0.004607038517145947,0.00045685184086011687,1.313491092295201e-05,2.545174360562106e-10,2099060,0.6956558907707764,-0.30152232605752466,0.9077221310733333,0.872134169210878,0.12172604420255184,0.1893373536455633,0.011756295812299256,0.02634212792313675
0,36,0.6560029845152583,-0.6971023210457393,0.7661436141601631,0.1429315476190476,0.09875496031746031,0.12702876984126985,0.08910218253968254,1.7650411482054177e-08,0.00028290705712665475,8.716232674527704e-07,0.0014618143344837786,2161922,0.6973056794840751,-0.3725764478951982,0.9088353554566775,0.8821271466471872,0.07386700377565747,0.11289644294920909,0.04008469253479393,0.07957007437079001
0,37,0.6582085979836327,-0.7037106528878212,0.8213839059961694,0.09951388888888889,0.17193948412698412,0.13816964285714287,0.1794295634920635,0.000247201498965827,4.372156817960137e-12,5.977101990673596e-08,3.9779450178182826e-13,2224841,0.6125519160741958,-0.3152501560644898,0.8881816832514425,0.8863060080754207,0.17399200490712532,0.1237917642433409,0.028080228456774024,0.04098342193407321
0,38,0.6505841495735305,-0.6929298426423754,0.8929204515048436,0.1402232142857143,0.05894345238095238,0.13362599206349207,0.08687003968253969,3.5893872812074246e-08,0.0834277632358172,1.8386032323724748e-07,0.002086020101492809,2288240,0.7544777431603841,-0.4165884139469264,0.9128855318421634,0.8800750151656589,0.040324204192450884,-0.00929956290429954,-0.016652567214172832,0.09206721553894459
0,39,0.6581954189709255,-0.7164363956877163,0.8689928996775832,0.04760416666666667,0.084375,0.13262896825396825,0.17615575396825398,0.24927564272448777,0.0030689392698478595,2.3293029726585778e-07,1.1408494231261871e-12,2350083,0.7229961280243448,-0.3156098815229935,0.9098084009685847,0.8671786764011635,0.12174104312643712,0.1844632106869939,-0.009212349147054965,-0.02937903344327636
0,40,0.6557633695857865,-0.6981265491672924,0.8112656383642128,0.12297619047619048,0.059097222222222225,0.14486607142857144,0.0678968253968254,2.182866691318982e-06,0.08201375793627269,1.0692350920356055e-08,0.029799781618217638,2412185,0.7248496549792709,-0.31535731282679597,0.9156949021172065,0.8979979744093638,0.09388673775218333,0.16425592295880584,0.007366047580605264,0.04070649663915781
0,41,0.6612381339073181,-0.7163586478148188,0.9398804264409202,0.0898859126984127,0.06808531746031746,0.11356646825396825,0.14612103174603175,0.0012862932797153657,0.029105363766648455,1.642030697878492e-05,7.628371827144509e-09,2473223,0.7526027704005886,-0.36763136652824063,0.9152118777474998,0.8847812519416521,0.12269037698945481,0.16570428301699708,-0.022503191554253572,0.026322692665744787
0,42,0.6509905819381986,-0.6958813933389527,0.7850931648697171,0.08527281746031747,0.04853174603174603,0.13707837301587303,0.11923611111111111,0.0026748318584275265,0.2299154507994535,7.842359699763491e-08,4.963046543617897e-06,2534956,0.696762656505552,-0.4137643804382347,0.9124651437166903,0.8815587564411688,0.14575999932345304,0.1445696295496649,0.0021836584062232566,0.04925223560326197
