,epoch,D_loss,G_loss,MI,SepalLengthCm_D_ks,SepalWidthCm_D_ks,PetalLengthCm_D_ks,PetalWidthCm_D_ks,SepalLengthCm_p_value,SepalWidthCm_p_value,PetalLengthCm_p_value,PetalWidthCm_p_value,time,Corr/code0-SepalLengthCm,Corr/code0-SepalWidthCm,Corr/code0-PetalLengthCm,Corr/code0-PetalWidthCm,Corr/code1-SepalLengthCm,Corr/code1-SepalWidthCm,Corr/code1-PetalLengthCm,Corr/code1-PetalWidthCm
0,1,0.6770173630544117,-0.6543970650860241,0.012854908659522022,0.24571428571428572,0.25798611111111114,0.31104166666666666,0.26527281746031744,2.7916280722014565e-24,9.632580051936467e-27,5.941355598985548e-39,2.4340806370504e-28,34153,0.055359244131483756,0.0025795862232921405,-0.19503971249355948,-0.5368059574141524,-0.2008668796588105,0.16768949233072095,0.05462540537971889,0.06746105977525185
0,2,0.6685347546424184,-0.6970081904104778,0.06343639508954116,0.1239484126984127,0.1418700396825397,0.34450892857142856,0.18386904761904763,1.7529855547003454e-06,2.3273324607331974e-08,7.66887691220777e-48,9.166935471444416e-14,89854,0.2079588342863803,0.3112356768307988,-0.29709034623765884,-0.519960226978205,-0.27561852888967775,0.2670122443651677,-0.38885091040347136,-0.222336410281896
0,3,0.674194159252303,-0.6743523606232235,0.19101712932544096,0.10775793650793651,0.1240625,0.2463095238095238,0.2117013888888889,5.2589983301391687e-05,1.7106900150079243e-06,1.868821545694263e-24,3.953141317343128e-18,152528,-0.11465715189778207,0.567345388403303,-0.3982925787450007,-0.4294405759421792,-0.3480175864007718,0.21210723250438943,-0.4922850801165351,-0.44416482224014736
0,4,0.6488031936543328,-0.6457503863743373,0.345532193247761,0.11174107142857143,0.22941964285714286,0.21955853174603174,0.20390376984126984,2.3812647186619646e-05,3.200727366428627e-21,1.7504495853924587e-19,7.653859852141611e-17,214115,-0.3199130462334104,0.7128791578629263,-0.5611891025763434,-0.5503813381917179,-0.360082207240235,0.0858710209102327,-0.45585288698382587,-0.431864426988302
0,5,0.661531218460628,-0.6816828815000398,0.32413607676114353,0.0772172619047619,0.2733829365079365,0.1323313492063492,0.12816468253968255,0.008755180513420033,4.7364705962888905e-30,2.524457094154519e-07,6.698060725795516e-07,275516,-0.33592131316144735,0.4916465781114353,-0.5277645066124435,-0.46360468906772534,-0.30501939735184075,0.18129665895213573,-0.45567658407436984,-0.42345024982927815
0,6,0.6757308468222618,-0.6660526692867279,0.4648973574595792,0.1979017857142857,0.06967757936507936,0.1559375,0.15373511904761905,7.392853389327338e-16,0.02386832518439697,5.222807593406849e-10,9.68091606403114e-10,337882,-0.45515090154600335,0.5311597829062513,-0.5930287205683434,-0.5269323999676794,-0.35213800518894295,0.11485125987258556,-0.5096204393591492,-0.5594962640012521
0,7,0.6624808854290417,-0.6568887276308877,0.48975287431052755,0.07623511904761905,0.11311011904761904,0.12256944444444444,0.17836309523809524,0.010033431252654915,1.8035827248216705e-05,2.390843286685271e-06,5.600734526776281e-13,399137,-0.3860817975442163,0.3785205745619439,-0.6180551582749032,-0.5466829954347592,-0.34546415197469604,-0.021695506957622335,-0.5337770976977292,-0.6579490584369686
0,8,0.6649642022592681,-0.6746758222579956,0.5136977024376392,0.11626984126984127,0.21887896825396824,0.11695436507936507,0.12353670634920635,9.343513313797531e-06,2.4499767448085067e-19,8.092039568796281e-06,1.9320848140970148e-06,458323,-0.3455235768185012,0.2119196377407767,-0.5787352961933353,-0.4626882949613891,-0.44636663613506683,-0.08068366337810029,-0.627087985679181,-0.5742861141004844
0,9,0.666528715619019,-0.6615889923913139,0.5141326444489616,0.11205853174603174,0.05800595238095238,0.13135416666666666,0.1829613095238095,2.235243292568121e-05,0.09207828195091568,3.177269203811023e-07,1.2250605206691406e-13,515079,-0.3971150143402396,0.3513500582556341,-0.5841171529007386,-0.47950096846237483,-0.43574002314721133,0.0977252326607273,-0.5637469161912345,-0.6494317137645017
0,10,0.6498210249202592,-0.6441253104380199,0.5115880758634636,0.1110218253968254,0.11682539682539683,0.12357142857142857,0.12925099206349205,2.7560382936796138e-05,8.325545006484664e-06,1.9159544989853685e-06,5.20157519865158e-07,571502,-0.43325779517983654,0.27916162229650493,-0.5376600874159048,-0.48881857393362627,-0.44579877342995944,0.06409482353228925,-0.5479374741608576,-0.6208597012537561
