,epoch,D_loss,G_loss,MI,SepalLengthCm_D_ks,SepalWidthCm_D_ks,PetalLengthCm_D_ks,PetalWidthCm_D_ks,SepalLengthCm_p_value,SepalWidthCm_p_value,PetalLengthCm_p_value,PetalWidthCm_p_value,time,Corr/code0-SepalLengthCm,Corr/code0-SepalWidthCm,Corr/code0-PetalLengthCm,Corr/code0-PetalWidthCm,Corr/code1-SepalLengthCm,Corr/code1-SepalWidthCm,Corr/code1-PetalLengthCm,Corr/code1-PetalWidthCm
0,1,0.6766663736530713,-0.5396416336297989,-2.1963392634476935,0.7410813492063492,0.8055357142857142,0.5087797619047619,0.39777281746031745,9.573968849190919e-241,1.1403625767790447e-292,2.841032570807701e-106,4.143884058765944e-64,213,-0.39795180389982365,-0.3096765910929768,0.02597068432546762,0.33653861673053737,-0.07842801803196689,-0.0647037740839076,-0.028752515165121947,0.029436442706951102
0,2,0.6417918045605931,-0.6065027873430934,-0.08293073890464646,0.43427083333333333,0.4631795634920635,0.44663194444444443,0.5588789682539682,1.4296336575245646e-76,2.0030015605925273e-87,2.961746605954707e-81,1.549725260686374e-129,418,-0.27819931023299227,-0.23127301311824794,-0.07927874615953925,0.25070843141655635,-0.06276594883266806,-0.056919253032729475,-0.06907072682352904,0.024941941906083013
0,3,0.5998592887605939,-0.5745539835521153,-0.03884195030799934,0.4911061507936508,0.4721031746031746,0.5599355158730158,0.5043501984126985,7.893376390417139e-99,5.807518171479606e-91,4.482714496515077e-130,2.37307205034724e-104,612,-0.31639709980496383,-0.23129421333937675,-0.02727530294747364,0.1858604407189842,-0.06025204897733203,-0.043021255033607,-0.0984331380579933,0.00576503509989748
0,4,0.5671899941350732,-0.5715990800942693,-0.019232691132596562,0.5620039682539683,0.7655009920634921,0.3955406746031746,0.4521329365079365,3.561171231501629e-131,1.7071218159713916e-259,2.237296135294462e-63,2.963712478372705e-83,795,-0.5288225469119137,-0.498867172405376,0.2021909497974698,0.3060151030666005,-0.09977394848708261,-0.0874683602862048,-0.056713995635390264,0.007941923780924703
0,5,0.44073176809719633,-0.4496566637286118,-0.00995089699115072,0.3109077380952381,0.802172619047619,0.39222222222222225,0.6533333333333333,6.295674240881273e-39,8.909797899226839e-290,2.697161496838534e-62,1.761863204270447e-181,983,-0.37573178636397236,-0.7028268025352812,0.47876409824445104,0.6801752404029769,-0.06192744635271665,-0.18575477977440602,0.023207967886524423,0.05550124671322348
0,6,0.23062434127288206,-0.21906924779926026,-0.00771643766867263,0.7188144841269841,0.6554960317460318,0.49876984126984125,0.5910912698412698,1.321504777903855e-224,7.687134712469188e-183,5.980830085193945e-102,5.0914922860262825e-146,9812,-0.7782124722984569,-0.6962874355705072,0.7694329738576859,0.6123477466625562,-0.16164797182345933,-0.15611050850731087,0.10655115313061198,0.0882018002285694
0,7,0.3773381643529449,-0.29911304557962076,-0.00719773955643177,0.4633035714285714,0.33327876984126986,0.3422123015873016,0.3377777777777778,1.3059143976620854e-87,9.124392034929726e-45,3.2363905960156136e-47,5.516554255012393e-46,10004,-0.6003997656284502,-0.6092387728954323,0.7474685772571035,0.56422152555101,-0.07697679455310914,-0.06258662707832688,0.03787575279418695,0.04233515547919964
0,8,0.5693547273320811,-0.471088564821652,-0.005151440855115652,0.32189484126984125,0.43552579365079364,0.4186755952380952,0.6120436507936508,1.0653556947054062e-41,3.591582233490089e-77,5.0134939899093915e-71,1.6860236003812298e-157,10206,-0.7399866443889757,-0.8660618127624509,0.8564717920256473,0.8136327420237139,-0.1104528351208691,-0.11524296662127043,0.06324561091064722,0.07528734477293052
0,9,0.36007112743599073,-0.3486263464604105,-0.002189026613320623,0.5155555555555555,0.4033333333333333,0.41333333333333333,0.7266666666666667,2.560916261867939e-109,5.926730501467346e-66,2.4213435928638133e-69,3.6810518918846736e-230,10398,-0.8931498153410851,-0.8943217317997693,0.9094168782731135,0.920531733540149,-0.05630818128148134,-0.06100745062856116,0.014684765372159576,0.02228068122268843
0,10,0.3076279240527323,-0.2700921038963965,0.0019654417410492897,0.2666170634920635,0.23222222222222222,0.3988888888888889,0.5887996031746032,1.3251223939970642e-28,9.86132055945101e-22,1.776548930177632e-64,7.656396020454674e-145,10584,-0.7885352735386549,-0.8240905304037736,0.9144349869713433,0.8986385193436612,-0.062786566948637,-0.09130493210582881,0.04783495304761366,0.04471113339802265
0,11,0.40949229683194843,-0.365889453462192,0.008515142436538423,0.43,0.4377331349206349,0.33555555555555555,0.3622222222222222,3.4097986142753734e-75,5.813867869464665e-78,2.2450323049895544e-45,5.592088436150362e-53,18946,-0.8291319367382699,-0.884279720154121,0.8725188452924499,0.8820653469916743,-0.0736683271282714,-0.08935763309550118,0.05201250102637991,0.05906435932530462
0,12,0.3391182023499693,-0.3121136562632663,0.022639149999512092,0.5277777777777778,0.27632936507936506,0.3333333333333333,0.33555555555555555,8.414877009101877e-115,9.835903945436963e-31,9.045389062035668e-45,2.2450323049895544e-45,19128,-0.883534704944991,-0.8725764252982567,0.8962649661939712,0.899350749862476,-0.11672516482305209,-0.11769557014187415,0.09162516359504516,0.1007407495610694
0,13,0.3572776501200029,-0.3152651619166136,0.04175389391769256,0.41,0.2508581349206349,0.3333333333333333,0.3333333333333333,3.340484468434483e-68,2.3165215574070957e-25,9.045389062035668e-45,9.045389062035668e-45,19313,-0.8364093808805323,-0.8716047286254281,0.8779879036214501,0.8936635545286524,-0.19818650995344053,-0.2005362428698082,0.18557257401547236,0.19068447976080646
0,14,0.3205710646829435,-0.2848858391599996,0.059506630924131186,0.2977579365079365,0.3263888888888889,0.3864186507936508,0.33,1.1320156450312817e-35,6.739422460547191e-43,2.559804870206276e-60,7.179469412138287e-44,19496,-0.8272103723753699,-0.8756889964205015,0.8840464850043463,0.887093480914502,-0.11277469925486357,-0.1212825340983481,0.11303656556475344,0.11611155852637414
0,15,0.2344197708048991,-0.2060842021767582,0.08100026939064264,0.45555555555555555,0.31180555555555556,0.3763988095238095,0.33,1.1669785134469988e-84,4.406791343176634e-39,3.5276763177533514e-57,7.179469412138287e-44,19691,-0.8380499725115865,-0.8813517782228731,0.8835382737618035,0.8914449097027726,-0.08443552532411468,-0.05361505844715174,0.041332256065772316,0.042550249620474226
0,16,0.2691854680223124,-0.2429303987217801,0.11337226416383471,0.4977579365079365,0.35864583333333333,0.2651736111111111,0.31444444444444447,1.345420573369377e-101,7.045342349387293e-52,2.6317365770629124e-28,8.432603833516413e-40,27751,-0.6892704601928972,-0.8751835127109377,0.8714159097033313,0.884592810569295,-0.13631649018065692,-0.12335126496768485,0.10606397051881522,0.11489294470800594
0,17,0.3275232868535178,-0.2983584441244602,0.1500304520928434,0.4388888888888889,0.3863392857142857,0.407390873015873,0.23518353174603174,2.03282716941135e-78,3.052625331877284e-60,4.13249664917406e-67,2.567499026544799e-22,27924,0.7873121893608027,-0.8882853264083488,0.8894546188944703,0.8925254084533326,0.0451055788673342,-0.11350048884732092,0.1041680822453038,0.10578235732133635
0,18,0.2755742661122765,-0.252014463235225,0.18738472781011037,0.34,0.3888244047619048,0.40515873015873016,0.32055555555555554,1.342012410664561e-46,3.381990926879325e-61,2.3239373872277225e-66,2.870853317076627e-41,28100,0.8827748138037085,-0.8964788998208633,0.9019229592295289,0.9051690916340912,0.03458297837539269,-0.06731664441963536,0.055674947652470226,0.05956813730641925
0,19,0.30269097111054827,-0.2781038084732635,0.23016524421317236,0.31333333333333335,0.32618551587301586,0.3928670634920635,0.380625,1.6165906398130582e-39,9.401766351264829e-43,2.5718353642917697e-62,2.022293932718187e-58,28284,0.9019310738847108,-0.9037229961053697,0.9118694140535115,0.9154393727521957,0.011868828380873787,-0.05077816598184065,0.0367988368600451,0.03502870707379532
0,20,0.35949218592473436,-0.3295211294399841,0.3003546518406698,0.3055555555555556,0.3416468253968254,0.3616121031746032,0.38393849206349207,1.435874566229193e-37,6.335154316838543e-47,1.1734599371663152e-52,1.8232418961884122e-59,28469,0.9146017953236013,-0.9248220202045889,0.9262572291352829,0.9301731602183061,0.014425521389669804,-0.054684145966340005,0.038899442309545916,0.03996465593810205
0,21,0.24458079439188754,-0.2352657906178917,0.321101546819721,0.32666666666666666,0.3330952380952381,0.33260416666666665,0.3515873015873016,5.571946389145549e-43,1.0536524968899445e-44,1.7929297185128406e-44,9.678191051423907e-50,36875,0.9441824846397172,-0.9481359340122613,0.9614214685741197,0.9620953442237522,-0.026627786182758337,-0.024957157320042864,0.000649445974313747,0.0032969625601399067
0,22,0.26773062108882834,-0.25724598712154795,0.39134188395525726,0.3236904761904762,0.3014781746031746,0.3303621031746032,0.3337103174603175,4.1934753013509206e-42,1.732335861326412e-36,7.124574268866056e-44,8.970536153489479e-45,37078,0.9482058506275232,-0.9441057764936769,0.9670288306866871,0.9688347147505586,-0.059534610284206216,-0.024710315089994692,-0.009366946507384318,-0.01067026395106729
0,23,0.43884417521102087,-0.41814072483352255,0.4165708412017141,0.2582093253968254,0.2649702380952381,0.3471279761904762,0.324796626984127,8.753638554225048e-27,3.28049626391641e-28,1.7924780889972298e-48,2.1405047769854914e-42,37287,0.921594223428967,-0.9394289869299279,0.967757916764111,0.9784992368597453,0.014351275464495236,-0.052617632803802356,0.04395440686236108,0.04455974204043015
0,24,0.25182829557784964,-0.2553021567208426,0.4440010738159929,0.21697420634920636,0.3497172619047619,0.3482390873015873,0.3069345238095238,5.445092844071181e-19,2.7699086664444375e-49,8.678049053042883e-49,7.581053734052696e-38,37475,0.9365220374148693,-0.9072407497595069,0.9627861036140628,0.9762401066807602,-0.002812306985925793,-0.06151593552947362,0.004159194823578721,0.028057077385147747
0,25,0.2810994083327906,-0.2716161244149719,0.42526194852377686,0.22245535714285714,0.2950049603174603,0.3215029761904762,0.2890823412698413,6.070812696188533e-20,6.075520202989179e-35,1.5918070596988925e-41,1.42970558889078e-33,37665,0.8713759439113171,-0.8485335483654051,0.9224602666906865,0.9485653899435287,-0.08425112823070034,-0.08015281323873533,-0.05671093285666099,-0.01851556701980673
0,26,0.4638852878872837,-0.42824181355535984,0.39239612833729814,0.3173809523809524,0.15296626984126985,0.2534126984126984,0.2868551587301587,1.672956423363441e-40,1.1886642305615443e-09,7.9098416032274e-26,4.6833052446507096e-33,46246,0.794029176402667,-0.7141120514255457,0.8893740401173406,0.9228183615828737,-0.05915881528073949,-0.13003224396718727,-0.03288775727681571,-0.008818905672309548
0,27,0.3612552907850061,-0.34413163071232183,0.3864879769140056,0.39095238095238094,0.13208333333333333,0.2026984126984127,0.2761259920634921,7.807272095539469e-62,2.6733277625254775e-07,1.2271061448975891e-16,1.2466405722901877e-30,46422,0.700940942171045,-0.6572563139137346,0.8446317068650057,0.8869558762230303,-0.05957884174706957,-0.1384226592856565,-0.014400529201601139,0.0034958673047908373
